10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:17 Event RX Timeout,,,,
10:28:20 Event RX Timeout,,,,
10:28:24 Event RX Timeout,,,,
10:28:28 Event RX Timeout,,,,
10:28:32 Event RX Timeout,,,,
10:28:36 Event RX Timeout,,,,
10:28:40 Event RX Timeout,,,,
10:28:44 Event RX Timeout,,,,
10:28:48 Event RX Timeout,,,,
10:28:52 Event RX Timeout,,,,
10:28:56 Event RX Timeout,,,,
10:29:00 Event RX Timeout,,,,
10:29:04 Event RX Timeout,,,,
10:29:08 Event RX Timeout,,,,
10:29:23 Event RX Timeout,,,,
10:29:27 Event RX Timeout,,,,
10:32:54 iOuC,305,102446,64809,-90,8
10:32:55 iOuC,304,102446,64821,-88,8
10:32:56 iOuC,304,102446,64821,-92,8
10:32:57 iOuC,304,102446,64821,-100,6
10:32:58 iOuC,305,102446,64802,-92,8
10:33:00 iOuC,305,102446,64809,-82,9
10:33:01 iOuC,305,102446,64795,-89,9
10:33:02 iOuC,305,102444,64809,-85,9
10:33:03 iOuC,305,102444,64809,-86,9
10:33:04 iOuC,305,102446,64815,-84,8
10:33:05 iOuC,305,102446,64802,-82,9
10:33:06 iOuC,305,102446,64802,-80,8
10:33:07 iOuC,305,102444,64802,-82,9
10:33:08 iOuC,305,102444,64802,-80,9
10:33:09 iOuC,305,102444,64802,-82,8
10:33:10 iOuC,305,102444,64795,-82,8
10:33:11 iOuC,305,102444,64795,-90,8
10:33:12 iOuC,305,102444,64789,-98,7
10:33:13 iOuC,305,102444,64802,-83,9
10:33:14 iOuC,305,102446,64809,-83,9
10:33:15 iOuC,305,102446,64789,-96,7
10:33:16 iOuC,305,102444,64802,-91,8
10:33:17 iOuC,305,102444,64795,-91,8
10:33:18 iOuC,305,102444,64795,-86,8
10:33:19 iOuC,305,102444,64802,-85,8
10:33:20 iOuC,305,102444,64789,-83,10
10:33:21 iOuC,305,102444,64795,-83,9
10:33:22 iOuC,305,102444,64795,-81,8
10:33:23 iOuC,305,102442,64789,-81,8
10:33:25 iOuC,305,102442,64795,-81,8
10:33:26 iOuC,305,102442,64789,-82,9
10:33:27 iOuC,305,102442,64789,-83,9
10:33:28 iOuC,305,102442,64789,-81,8
10:33:29 iOuC,305,102442,64795,-83,10
10:33:30 iOuC,305,102442,64782,-82,8
10:33:31 iOuC,305,102442,64789,-83,8
10:33:32 iOuC,305,102440,64795,-85,8
10:33:33 iOuC,305,102440,64802,-82,9
10:33:34 iOuC,305,102440,64802,-82,9
10:33:35 iOuC,305,102440,64789,-82,9
10:33:36 iOuC,305,102440,64782,-84,8
10:33:37 iOuC,305,102440,64795,-85,9
10:33:38 iOuC,305,102440,64802,-85,8
